Название,Атомная масса,Атомный радиус,Плотность,Тип
Литий,7.00,182,0.53,металл
Бериллий,9.01,153,1.85,металл
Бор,10.81,192,2.37,полуметалл
Углерод,12.01,170,2.27,неметалл
Натрий,22.99,227,0.97,металл
Магний,24.31,173,1.74,металл
Алюминий,26.98,184,2.70,металл
Кремний,28.09,210,2.33,полуметалл
Фосфор,30.97,180,1.82,неметалл
Сера,32.07,180,2.07,неметалл
Калий,39.10,275,0.89,металл
Кальций,40.08,231,1.54,металл
Скандий,44.96,211,2.99,металл
Титан,47.87,187,4.50,металл
Ванадий,50.94,179,6.00,металл
Хром,52.00,189,7.15,металл
Марганец,54.94,197,7.30,металл
Железо,55.84,194,7.87,металл
Кобальт,58.93,192,8.86,металл
Никель,58.69,163,8.91,металл
Медь,63.55,140,8.93,металл
Цинк,65.40,139,7.13,металл
Галлий,69.72,187,5.91,металл
Германий,72.63,211,5.32,полуметалл
Мышьяк,74.92,185,5.78,полуметалл
Селен,78.97,190,4.81,неметалл
Бром,79.90,183,3.11,неметалл
Рубидий,85.47,303,1.53,металл
Стронций,87.62,249,2.64,металл
Иттрий,88.91,219,4.47,металл
Цирконий,91.22,186,6.52,металл
Ниобий,92.91,207,8.57,металл
Молибден,95.95,209,10.20,металл
Технеций,96.91,209,11.00,металл
Рутений,101.10,207,12.10,металл
Родий,102.91,195,12.40,металл
Палладий,106.42,202,12.00,металл
Серебро,107.87,172,10.50,металл
Кадмий,112.41,158,8.69,металл
Индий,114.82,193,7.31,металл
Олово,118.71,217,7.29,металл
Сурьма,121.76,206,6.69,полуметалл
Теллур,127.60,206,6.23,полуметалл
Йод,126.90,198,4.93,неметалл
Цезий,132.91,343,1.93,металл
Барий,137.33,268,3.62,металл
Лантан,138.91,240,6.15,металл
Церий,140.12,235,6.77,металл
Празеодим,140.91,239,6.77,металл
Неодим,144.24,229,7.01,металл
Прометий,144.91,236,7.26,металл
Самарий,150.40,229,7.52,металл
Европий,151.96,233,5.24,металл
Гадолиний,157.25,237,7.90,металл
Тербий,158.93,221,8.23,металл
Диспрозий,162.50,229,8.55,металл
Гольмий,164.93,216,8.80,металл
Эрбий,167.26,235,9.07,металл
Тулий,168.93,227,9.32,металл
Иттербий,173.05,242,6.90,металл
Лютеций,174.97,221,9.84,металл
Гафний,178.49,212,13.30,металл
Тантал,180.95,217,16.40,металл
Вольфрам,183.84,210,19.30,металл
Рений,186.21,217,20.80,металл
Осмий,190.20,216,22.57,металл
Иридий,192.22,202,22.42,металл
Платина,195.08,209,21.46,металл
Золото,196.97,166,19.28,металл
Ртуть,200.59,209,13.53,металл
Таллий,204.38,196,11.80,металл
Свинец,207.00,202,11.34,металл
Висмут,208.98,207,9.81,металл
Полоний,208.98,197,9.32,полуметалл
Астат,209.99,202,7.00,неметалл
Радон,222.02,220,0.01,неметалл
Радий,226.03,283,5.00,металл
Актиний,227.03,260,10.07,металл
Торий,232.04,237,11.72,металл
Протактиний,231.04,243,15.37,металл
Уран,238.03,240,18.95,металл
Нептуний,237.05,221,20.25,металл
Плутоний,244.06,243,19.84,металл
Америций,243.06,244,13.69,металл
Кюрий,247.07,245,13.51,металл
Берклий,247.07,244,14.00,металл
